1,1
1,2
1,31
2,1
2,3
2,32
3,1
3,4
3,5
3,33
4,6
4,7
4,34
5,6
5,7
5,35
6,8
6,9
6,35
7,10
7,11
7,12
7,13
8,10
8,12
8,13
9,14
9,15
10,13
10,16
10,17
11,7
11,18
11,36
12,1
12,13
12,19
12,20
12,21
13,10
13,13
13,16
13,17
13,27
14,16
14,17
14,37
15,13
15,16
15,22
15,23
15,38
16,6
16,7
16,39
17,1
17,26
17,40
17,47
18,13
18,16
18,17
18,27
19,8
19,41
20,6
20,8
20,9
21,8
21,9
21,42
22,3
22,43
22,44
23,44
23,45
23,46
24,6
24,47
24,48
25,2
25,49
25,50
26,51
26,52
27,2
27,40
27,50
27,53
28,1
28,29
28,51
28,54
29,7
29,49
29,55
30,29
30,56
31,4
31,33
31,57
31,58
32,1
32,3
32,6
32,32
32,54
33,2
33,27
33,40
33,50
34,3
34,59
35,8
35,9
35,35
36,13
36,63
37,3
38,64
38,65
39,50
39,66
40,7
40,55
41,50
41,67
42,2
42,50
43,68
44,2
44,50
44,69
45,8
45,9
45,35
46,8
46,9
46,41
47,7
47,60
47,61
47,62
48,2
48,24
48,25
48,26
49,2
49,27
50,28
50,29
50,30
