1,2
1,3
1,4
1,5
1,6
2,7
2,8
2,9
2,10
3,11
3,12
3,13
4,14
4,15
4,16
4,17
4,18
5,19
5,20
5,21
6,1
6,2
6,3
7,4
7,5
7,6
7,8
8,9
8,10
8,11
8,12
9,13
9,14
9,15
9,16
9,17
9,18
9,19
10,20
10,21
10,1
10,2
10,3
10,4
10,5
10,6
10,7
10,8
10,9
10,11
10,12
10,13
11,14
11,15
11,16
11,17
11,18
12,19
12,20
13,21
13,1
13,2
13,3
14,4
14,5
14,6
14,7
15,8
15,9
15,10
15,11
15,12
15,13
16,14
16,15
16,17
16,18
16,19
17,20
17,21
17,1
18,2
18,3
18,4
18,5
18,6
19,7
19,8
19,9
19,10
19,11
19,12
19,13
20,14
20,15
20,16
20,17
20,18
20,19
20,21
20,1
20,2
21,3
21,4
21,5
21,6
21,7
