1,5,2021-01-10 07:01:00
1,6,2021-01-10 07:01:00
1,7,2021-01-10 07:01:00
1,8,2021-01-10 07:01:00
1,9,2021-01-10 07:01:00
1,10,2021-01-10 07:01:00
1,11,2021-01-10 07:01:00
1,12,2021-01-10 07:01:00
1,13,2021-01-10 07:01:00
1,14,2021-01-10 07:01:00
2,12,2021-01-10 07:01:00
3,13,2021-01-10 07:01:00
4,14,2021-01-10 07:01:00
5,11,2021-01-10 07:01:00
5,12,2021-01-10 07:01:00
5,13,2021-01-10 07:01:00
5,14,2021-01-10 07:01:00
5,15,2021-01-10 07:01:00
6,16,2021-01-10 07:01:00
6,17,2021-01-10 07:01:00
6,18,2021-01-10 07:01:00
6,19,2021-01-10 07:01:00
6,20,2021-01-10 07:01:00
7,17,2021-01-10 07:01:00
8,5,2021-01-10 07:01:00
8,18,2021-01-10 07:01:00
9,19,2021-01-10 07:01:00
10,20,2021-01-10 07:01:00
11,21,2021-01-10 07:01:00
12,11,2021-01-10 07:01:00
12,12,2021-01-10 07:01:00
12,13,2021-01-10 07:01:00
12,14,2021-01-10 07:01:00
12,15,2021-01-10 07:01:00
20,3,2021-01-10 07:01:00
20,4,2021-01-10 07:01:00
20,5,2021-01-10 07:01:00
20,6,2021-01-10 07:01:00
25,16,2021-01-10 07:01:00
25,17,2021-01-10 07:01:00
25,18,2021-01-10 07:01:00
30,7,2021-01-10 07:01:00
30,8,2021-01-10 07:01:00
30,9,2021-01-10 07:01:00
30,10,2021-01-10 07:01:00
30,11,2021-01-10 07:01:00
30,12,2021-01-10 07:01:00
35,8,2021-01-10 07:01:00
35,9,2021-01-10 07:01:00
35,10,2021-01-10 07:01:00
35,11,2021-01-10 07:01:00
35,12,2021-01-10 07:01:00
39,1,2021-01-10 07:01:00
39,2,2021-01-10 07:01:00
39,16,2021-01-10 07:01:00
39,17,2021-01-10 07:01:00
39,18,2021-01-10 07:01:00
39,19,2021-01-10 07:01:00
39,20,2021-01-10 07:01:00
39,21,2021-01-10 07:01:00
40,1,2021-01-10 07:01:00
40,2,2021-01-10 07:01:00
40,3,2021-01-10 07:01:00
41,4,2021-01-10 07:01:00
41,5,2021-01-10 07:01:00
42,6,2021-01-10 07:01:00
42,7,2021-01-10 07:01:00
42,8,2021-01-10 07:01:00
42,9,2021-01-10 07:01:00
43,10,2021-01-10 07:01:00
43,11,2021-01-10 07:01:00
43,12,2021-01-10 07:01:00
43,13,2021-01-10 07:01:00
44,14,2021-01-10 07:01:00
44,15,2021-01-10 07:01:00
44,16,2021-01-10 07:01:00
44,17,2021-01-10 07:01:00
44,18,2021-01-10 07:01:00
45,19,2021-01-10 07:01:00
45,20,2021-01-10 07:01:00
45,21,2021-01-10 07:01:00
45,1,2021-01-10 07:01:00
45,2,2021-01-10 07:01:00
46,4,2021-01-10 07:01:00
46,5,2021-01-10 07:01:00
46,6,2021-01-10 07:01:00
46,7,2021-01-10 07:01:00
46,8,2021-01-10 07:01:00
46,9,2021-01-10 07:01:00
46,10,2021-01-10 07:01:00
46,11,2021-01-10 07:01:00
46,12,2021-01-10 07:01:00
48,10,2021-01-10 07:01:00
48,11,2021-01-10 07:01:00
48,12,2021-01-10 07:01:00
48,13,2021-01-10 07:01:00
48,14,2021-01-10 07:01:00
48,15,2021-01-10 07:01:00
48,16,2021-01-10 07:01:00
48,17,2021-01-10 07:01:00
49,3,2021-01-10 07:01:00
49,4,2021-01-10 07:01:00
49,5,2021-01-10 07:01:00
49,6,2021-01-10 07:01:00
49,7,2021-01-10 07:01:00
49,8,2021-01-10 07:01:00
49,9,2021-01-10 07:01:00
50,15,2021-01-10 07:01:00
50,16,2021-01-10 07:01:00
50,17,2021-01-10 07:01:00
50,18,2021-01-10 07:01:00
50,19,2021-01-10 07:01:00
50,20,2021-01-10 07:01:00
50,1,2021-01-10 07:01:00
